key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-435619250,Bias and discrimination in ML-based systems of administrative decision-making and support,2024,11,1,Computer Law & Security Review,2212-473X,55,,106070,"MAC, Trang Anh",https://www.sciencedirect.com/science/article/pii/S0267364924001365,,,,,"",https://doi.org/10.1016/j.clsr.2024.106070,Bias;Discrimination;AI;Machine learning;Decision-making;Support,,
rayyan-435619251,The level of strength of an explanation: A quantitative evaluation technique for post-hoc XAI methods,2025,5,1,Pattern Recognition,0031-3203,161,,111221,"Bello, Marilyn and Amador, Rosalís and García, María-Matilde and Ser, Javier Del and Mesejo, Pablo and Cordón, Óscar",https://www.sciencedirect.com/science/article/pii/S0031320324009725,,,,,"",https://doi.org/10.1016/j.patcog.2024.111221,Explainable artificial intelligence;Trustworthiness;Feature attribution;Quantitative evaluation;Likelihood ratio,,
rayyan-435619252,Continuous reinforcement learning via advantage value difference reward shaping: A proximal policy optimization perspective,2025,7,1,Engineering Applications of Artificial Intelligence,0952-1976,151,,110676,"Lin, Jiawei and Wei, Xuekai and Xian, Weizhi and Yan, Jielu and U, Leong Hou and Feng, Yong and Shang, Zhaowei and Zhou, Mingliang",https://www.sciencedirect.com/science/article/pii/S0952197625006761,,,,,"",https://doi.org/10.1016/j.engappai.2025.110676,Deep reinforcement learning;Continuous control tasks;Reward shaping;Advantage value difference;Temporal difference error,,
rayyan-435619253,Advancements in biomedical rendering: A survey on AI-based denoising techniques,2025,10,1,Computers in Biology and Medicine,0010-4825,197,,110979,"Denisova, Elena and Francia, Piergiorgio and Nardi, Cosimo and Bocchi, Leonardo",https://www.sciencedirect.com/science/article/pii/S0010482525013319,,,,,"",https://doi.org/10.1016/j.compbiomed.2025.110979,Realistic volumetric rendering;Diagnostic imaging;Artificial intelligence;Surveys and questionnaires,,
rayyan-435619254,UIR-ES: An unsupervised underwater image restoration framework with equivariance and stein unbiased risk estimator,2024,11,1,Image and Vision Computing,0262-8856,151,,105285,"Zhu, Jiacheng and Wen, Junjie and Hong, Duanqin and Lin, Zhanpeng and Hong, Wenxing",https://www.sciencedirect.com/science/article/pii/S0262885624003901,,,,,"",https://doi.org/10.1016/j.imavis.2024.105285,Underwater image restoration;Unsupervised learning;Equivariance;Stein unbiased risk estimator,,
rayyan-435619255,Including insider threats into risk management through Bayesian threat graph networks,2023,10,1,Computers & Security,0167-4048,133,,103410,"d'Ambrosio, Nicola and Perrone, Gaetano and Romano, Simon Pietro",https://www.sciencedirect.com/science/article/pii/S0167404823003206,,,,,"",https://doi.org/10.1016/j.cose.2023.103410,Insider threats;Risk assessment;Risk management;Bayesian attack graphs;Attack graphs;Data security,,
rayyan-435619256,"Hypothesis-driven information fusion in adversarial, deceptive environments",2011,4,1,Information Fusion,1566-2535,12,2,131-144,"Kott, Alexander and Singh, Rajdeep and McEneaney, William M. and Milks, Wes",https://www.sciencedirect.com/science/article/pii/S1566253510000771,,,,,"",https://doi.org/10.1016/j.inffus.2010.09.001,Information fusion;Military intelligence;Risk-sensitive control;Adversarial reasoning;Deception analysis,,
rayyan-435619257,A software tool for elicitation of expert knowledge about species richness or similar counts,2012,4,1,Environmental Modelling & Software,1364-8152,30,,1-14,"Fisher, Rebecca and O'Leary, Rebecca A. and Low-Choy, Samantha and Mengersen, Kerrie and Caley, M. Julian",https://www.sciencedirect.com/science/article/pii/S136481521100274X,,,,,"",https://doi.org/10.1016/j.envsoft.2011.11.011,Elicitation software;Estimating counts;Species richness;Expert elicitation;Expert opinion;Estimating counts,,
rayyan-435619258,Perceptions of Adolescents With Cancer Related to a Pain Management App and Its Evaluation: Qualitative Study Nested Within a Multicenter Pilot Feasibility Study,2018,4,1,JMIR mHealth and uHealth,2291-5222,6,4,,"Jibb, Lindsay A and Stevens, Bonnie J and Nathan, Paul C and Seto, Emily and Cafazzo, Joseph A and Johnston, Donna L and Hum, Vanessa and Stinson, Jennifer N",https://www.sciencedirect.com/science/article/pii/S2291522218001511,,,,,"",https://doi.org/10.2196/mhealth.9319,pain;adolescent;cancer;supportive care;mHealth;qualitative,,
rayyan-435619259,Determining the initial spatial extent of an environmental impact assessment with a probabilistic screening methodology,2018,11,1,Environmental Modelling & Software,1364-8152,109,,353-367,"Peeters, Luk J.M. and Pagendam, Daniel E. and Crosbie, Russell S. and Rachakonda, Praveen K. and Dawes, Warrick R. and Gao, Lei and Marvanek, Steve P. and Zhang, YongQiang and McVicar, Tim R.",https://www.sciencedirect.com/science/article/pii/S136481521830392X,,,,,"",https://doi.org/10.1016/j.envsoft.2018.08.020,Environmental impact assessment;Uncertainty analysis;Hydrogeology;Coal bed methane;Coal mining,,
